,,0,0,0,0,0,0
SLOW,FAST,1,3,4,1,1,70
SLOW,FAST,1,4,4,1,1,60
SLOW,FAST,1,3,4.4,1,1,90
,,0,0,0,0,0,0
,,0,0,0,0,0,0
,,0,0,0,0,0,0
SLOW,FAST,1,4,4.3,1,1,60
SLOW,FAST,1,4,4.6,1,1,120
,,0,0,0,0,0,0
,,0,0,0,0,0,0
,,0,0,0,0,0,0
SLOW,FAST,1,3.6,2.6,1,1,50
,,0,0,0,0,0,0
,,0,0,0,0,0,0
,,0,0,0,0,0,0
,,0,0,0,0,0,0
SLOW,AVERAGE,4,10,19.6,4.1,4.1,490
SLOW,AVERAGE,4,10,19.6,4.1,4.1,490
SLOW,AVERAGE,4,10.6,19.7,4.1,4.1,340
SLOW,AVERAGE,4,10.9,20.6,4.2,4.2,620
SLOW,AVERAGE,4,12.1,21.3,4.1,4.1,520
SLOW,FAST,0,3.7,3.7,0.9,0.9,80
SLOW,FAST,0,3.7,3.5,0.9,0.9,80
SLOW,FAST,0,2.7,3.1,0.9,0.9,30
SLOW,FAST,0,3.1,3.4,0.9,0.9,50
,,0,0,0,0,0,0
SLOW,FAST,0,3.7,3.9,0.9,0.9,80
SLOW,FAST,0,3,3.9,0.9,0.9,90
SLOW,FAST,0,3.9,3.7,0.9,0.9,70
,,0,0,0,0,0,0
SLOW,FAST,0,2.9,3.2,0.9,0.9,50
SLOW,FAST,0,3,4,0.9,0.9,120
SLOW,FAST,0,3.1,3.4,0.9,0.9,40
SLOW,FAST,0,2.9,3,1,1,50
SLOW,FAST,0,2.4,3.8,0.9,0.9,50
SLOW,FAST,0,3.8,3.8,0.9,0.9,80
SLOW,FAST,0,3.1,3.9,0.9,0.9,90
SLOW,FAST,0,3,3.7,0.9,0.9,60
SLOW,FAST,0,2.3,3.3,0.9,0.9,90
SLOW,FAST,0,3.6,3.7,0.9,0.9,90
SLOW,FAST,0,3.6,3.7,0.9,0.9,90
SLOW,FAST,0,3.6,3.7,0.9,0.9,90
SLOW,FAST,0,3.6,3.7,0.9,0.9,90
SLOW,FAST,0,2.7,3,1,1,30
SLOW,FAST,0,2.7,3,1,1,30
SLOW,FAST,0,3,3,0.9,0.9,70
SLOW,FAST,0,2.2,2.5,0.9,0.9,20
SLOW,FAST,0,2.6,2.1,0.9,0.9,20
SLOW,FAST,0,2.8,1.3,0.9,0.9,10
SLOW,FAST,0,2.6,0.9,0.9,0.9,10
SLOW,FAST,0,3.3,1.1,0.9,0.9,10
SLOW,FAST,0,3.3,1.1,0.9,0.9,10
SLOW,FAST,0,3.3,1.1,0.9,0.9,10
SLOW,FAST,0,3.3,1.1,0.9,0.9,10
SLOW,FAST,0,3.4,1.1,0.9,0.9,10
SLOW,FAST,0.9,2.7,2.3,0.9,0.9,10
